bra,agi,Tair10_desc
BraA05g14360R,AT2G30090,GCN5-related N-acetyltransferase (GNAT) family protein
BraA05g14350R,NS,NA
BraA05g14340R,AT2G30110,ATUBA1; ubiquitin activating enzyme/ ubiquitin-protein ligase
BraA05g14320R,AT2G30120,unknown protein
BraA05g14310R,AT2G30130,ASL5; DNA binding / protein binding
BraA05g14300R,AT2G30150,UDP-glucoronosyl/UDP-glucosyl transferase family protein
BraA05g14290R,AT2G30160,mitochondrial substrate carrier family protein
BraA05g14280R,AT2G30160,mitochondrial substrate carrier family protein
BraA05g14270R,AT2G30200,binding / catalytic/ transferase
BraA05g14260R,AT2G30210,LAC3 (laccase 3); laccase
BraA05g14250R,NS,NA
BraA05g14240R,AT2G30230,unknown protein
BraA05g14230R,AT2G30250,WRKY25; transcription factor
BraA05g14220R,AT2G30300,nodulin-related
BraA05g14210R,NS,NA
BraA05g14200R,NS,NA
BraA05g14190R,NS,NA
BraA05g14180R,NS,NA
BraA05g14170R,AT2G30340,LBD13 (LOB DOMAIN-CONTAINING PROTEIN 13)
BraA05g14160R,AT2G30360,SIP4 (SOS3-INTERACTING PROTEIN 4); kinase/ protein kinase
BraA05g14150R,AT2G30380,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; CONTAINS InterPro DOMAIN/s: F-box associated type 1 (InterPro:IPR017451) Protein of unknown function DUF641 plant (InterPro:IPR006943); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT2G45260.1); Has 272 Blast hits to 271 proteins in 24 species: Archae - 0; Bacteria - 0; Metazoa - 2; Fungi - 2; Plants - 264; Viruses - 0; Other Eukaryotes - 4 (source: NCBI BLink).
BraA05g14140R,AT2G30395,OFP17 (ARABIDOPSIS THALIANA OVATE FAMILY PROTEIN 17)
BraA05g14130R,AT2G30400,OFP2 (OVATE FAMILY PROTEIN 2)
BraA05g14120R,AT2G30410,KIS (KIESEL); unfolded protein binding
BraA05g14110R,AT2G30470,HSI2 (HIGH-LEVEL EXPRESSION OF SUGAR-INDUCIBLE GENE 2); transcription factor/ transcription repressor
BraA05g14100R,AT2G30490,C4H (CINNAMATE-4-HYDROXYLASE); trans-cinnamate 4-monooxygenase
BraA05g14090R,NS,NA
BraA05g14080R,AT2G30505,Expressed protein
BraA05g14070R,AT2G30520,RPT2 (ROOT PHOTOTROPISM 2); protein binding
BraA05g14050R,AT2G30540,glutaredoxin family protein
BraA05g14040R,AT2G30560,glycine-rich protein
BraA05g14030R,AT2G30580,DRIP2 (DREB2A-INTERACTING PROTEIN 2); protein binding / ubiquitin-protein ligase/ zinc ion binding
BraA05g14020R,AT2G30580,DRIP2 (DREB2A-INTERACTING PROTEIN 2); protein binding / ubiquitin-protein ligase/ zinc ion binding
BraA05g14010R,AT2G30590,WRKY21; calmodulin binding / transcription factor
BraA05g14000R,AT2G30620,histone H1.2
BraA05g13990R,AT2G30630,unknown protein
BraA05g13980R,AT2G30690,unknown protein
BraA05g13970R,AT2G30690,unknown protein
BraA05g13960R,AT2G30740,serine/threonine protein kinase putative
BraA05g13950R,AT2G30800,HVT1 (HELICASE IN VASCULAR TISSUE AND TAPETUM); ATP binding / helicase/ nucleic acid binding
BraA05g13940R,AT2G30840,2-oxoglutarate-dependent dioxygenase putative
BraA05g13930R,NS,NA
BraA05g13920R,AT2G30910,ARPC1A (ACTIN-RELATED PROTEIN C1A); actin binding / nucleotide binding
BraA05g13910R,AT2G30930,unknown protein
BraA05g13900R,NS,NA
BraA05g13890R,AT2G30940,protein kinase family protein
BraA05g13880R,AT2G30950,VAR2 (VARIEGATED 2); ATP-dependent peptidase/ ATPase/ metallopeptidase/ zinc ion binding
BraA05g13870R,AT2G30970,ASP1 (ASPARTATE AMINOTRANSFERASE 1); L-aspartate:2-oxoglutarate aminotransferase
BraA05g13860R,AT2G30980,ASKdZeta (Arabidopsis SHAGGY-related protein kinase dZeta); ATP binding / kinase/ protein kinase/ protein serine/threonine kinase
BraA05g13850R,AT2G30990,unknown protein
BraA05g13840R,AT2G30990,unknown protein
BraA05g13830R,AT2G31050,plastocyanin-like domain-containing protein
BraA05g13820R,AT2G31070,TCP10 (TCP DOMAIN PROTEIN 10); transcription factor
BraA05g13810R,AT2G31083,CLE5 (CLAVATA3/ESR-RELATED 5); protein binding / receptor binding
BraA05g13800R,AT2G31100,triacylglycerol lipase
BraA05g13790R,AT2G31130,unknown protein
BraA05g13760R,AT2G31280,basic helix-loop-helix (bHLH) protein-related
BraA05g13750R,AT2G31270,CDT1A (ARABIDOPSIS HOMOLOG OF YEAST CDT1 A); cyclin-dependent protein kinase/ protein binding
BraA05g13740R,NS,NA
BraA05g13730R,NS,NA
BraA05g13720R,AT2G31260,APG9 (autophagy 9)
BraA05g13710R,AT2G31230,ATERF15 (Ethylene-responsive element binding factor 15); DNA binding / transcription activator/ transcription factor
BraA05g13700R,AT2G31220,basic helix-loop-helix (bHLH) family protein
BraA05g13690R,AT2G31210,basic helix-loop-helix (bHLH) family protein
BraA05g13680R,AT2G31200,ADF6 (ACTIN DEPOLYMERIZING FACTOR 6); actin binding
BraA05g13670R,AT2G31180,MYB14 (MYB DOMAIN PROTEIN 14); DNA binding / transcription factor
BraA05g13650R,AT2G31170,SYCO ARATH; ATP binding / aminoacyl-tRNA ligase/ cysteine-tRNA ligase/ nucleotide binding
BraA05g13640R,AT2G31170,SYCO ARATH; ATP binding / aminoacyl-tRNA ligase/ cysteine-tRNA ligase/ nucleotide binding
BraA05g13630R,AT2G31160,LSH3 (LIGHT SENSITIVE HYPOCOTYLS 3)
BraA05g13620R,AT2G41920,protein kinase family protein
BraA05g13610R,AT2G31305,INH3 (INHIBITOR-3)
BraA05g13600R,NS,NA
BraA05g13590R,AT2G31310,LBD14 (LOB DOMAIN-CONTAINING PROTEIN 14)
BraA05g13580R,AT2G31320,PARP2 (POLY(ADP-RIBOSE) POLYMERASE 2); DNA binding / NAD or NADH binding / NAD+ ADP-ribosyltransferase/ zinc ion binding
BraA05g13570R,NS,NA
BraA05g13550R,NS,NA
BraA05g13540R,AT2G31335,unknown protein
BraA05g13530R,AT2G31345,unknown protein
BraA05g13520R,AT2G31340,emb1381 (embryo defective 1381)
BraA05g13510R,AT2G31345,unknown protein
BraA05g13500R,AT2G31350,GLX2-5 (GLYOXALASE 2-5); hydroxyacylglutathione hydrolase/ iron ion binding / zinc ion binding
BraA05g13490R,AT2G31360,ADS2 (16:0Delta9 Arabidopsis desaturase 2); oxidoreductase
BraA05g13480R,AT2G31370,bZIP transcription factor (POSF21)
BraA05g13470R,AT2G31390,pfkB-type carbohydrate kinase family protein
BraA05g13460R,AT2G31390,pfkB-type carbohydrate kinase family protein
BraA05g13450R,AT2G31400,pentatricopeptide (PPR) repeat-containing protein
BraA05g13440R,AT2G31400,pentatricopeptide (PPR) repeat-containing protein
BraA05g13430R,AT2G31400,pentatricopeptide (PPR) repeat-containing protein
BraA05g13420R,AT2G31400,pentatricopeptide (PPR) repeat-containing protein
BraA05g13410R,AT2G31400,pentatricopeptide (PPR) repeat-containing protein
BraA05g13380R,NA,NA
BraA05g13370R,NA,NA
BraA05g13360R,AT2G31480,unknown protein
BraA05g13350R,AT2G31490,unknown protein
BraA05g13340R,AT2G31500,CPK24; ATP binding / calcium ion binding / calmodulin-dependent protein kinase/ kinase/ protein kinase/ protein serine/threonine kinase
BraA05g13330R,AT2G31540,GDSL-motif lipase/hydrolase family protein
BraA05g13320R,AT2G31610,40S ribosomal protein S3 (RPS3A)
BraA05g13310R,NA,NA
BraA05g13300R,NA,NA
BraA05g13290R,NS,NA
BraA05g13280R,AT2G31570,ATGPX2 (GLUTATHIONE PEROXIDASE 2); glutathione peroxidase
BraA05g13270R,NA,NA
BraA05g13260R,NS,NA
BraA05g13250R,AT2G31610,40S ribosomal protein S3 (RPS3A)
BraA05g13240R,NS,NA
BraA05g13230R,NS,NA
BraA05g13220R,NS,NA
BraA05g13210R,NS,NA
BraA05g13200R,AT2G31580,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: cultured cell; CONTAINS InterPro DOMAIN/s: tRNAHis guanylyltransferase (InterPro:IPR007537); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT2G32320.1); Has 640 Blast hits to 336 proteins in 155 species: Archae - 65; Bacteria - 47; Metazoa - 212; Fungi - 176; Plants - 43; Viruses - 2; Other Eukaryotes - 95 (source: NCBI BLink).
BraA05g13190R,NA,NA
BraA05g13180R,AT2G31660,SAD2 (SUPER SENSITIVE TO ABA AND DROUGHT2); binding / protein transporter
BraA05g13170R,AT2G31680,AtRABA5d (Arabidopsis Rab GTPase homolog A5d); GTP binding
BraA05g13160R,AT2G31690,lipase class 3 family protein
BraA05g13150R,AT2G31710,unknown protein
BraA05g13140R,NS,NA
BraA05g13130R,AT2G31725,unknown protein
BraA05g13120R,AT2G31740,methyltransferase
BraA05g13110R,AT2G31760,zinc finger protein-related
BraA05g13100R,AT2G31790,UDP-glucoronosyl/UDP-glucosyl transferase family protein
BraA05g13090R,AT2G31810,acetolactate synthase small subunit putative
BraA05g13080R,AT2G31830,endonuclease/exonuclease/phosphatase family protein
BraA05g13070R,AT2G31830,endonuclease/exonuclease/phosphatase family protein
BraA05g13060R,AT2G31865,poly (ADP-ribose) glycohydrolase (PARG) family protein
BraA05g13050R,NS,NA
BraA05g13040R,AT2G31920,unknown protein
BraA05g13030R,NS,NA
BraA05g13020R,AT2G31920,unknown protein
BraA05g13010R,AT2G31930,unknown protein
BraA05g13000R,AT2G31940,unknown protein
BraA05g12990R,AT2G31960,ATGSL03 (GLUCAN SYNTHASE-LIKE 3); 13-beta-glucan synthase/ transferase transferring glycosyl groups
BraA05g12980R,NS,NA
BraA05g12970R,AT2G31945,unknown protein
BraA05g12960R,AT2G31955,CNX2 (COFACTOR OF NITRATE REDUCTASE AND XANTHINE DEHYDROGENASE 2); catalytic
BraA05g12950R,AT2G31960,ATGSL03 (GLUCAN SYNTHASE-LIKE 3); 13-beta-glucan synthase/ transferase transferring glycosyl groups
BraA05g12940R,AT2G31980,cysteine proteinase inhibitor-related
BraA05g12930R,AT2G31990,exostosin family protein
BraA05g12900R,NS,NA
BraA05g12890R,NS,NA
BraA05g12880R,NS,NA
BraA05g12870R,NA,NA
BraA05g12860R,AT2G32020,GCN5-related N-acetyltransferase (GNAT) family protein
BraA05g12850R,AT2G32040,integral membrane transporter family protein
BraA05g12840R,AT2G32070,CCR4-NOT transcription complex protein putative
BraA05g12830R,AT2G32080,PUR ALPHA-1; nucleic acid binding
BraA05g12820R,AT2G32090,lactoylglutathione lyase family protein / glyoxalase I family protein
BraA05g12810R,AT2G32100,OFP16 (ARABIDOPSIS THALIANA OVATE FAMILY PROTEIN 16)
BraA05g12800R,AT2G32120,HSP70T-2 (HEAT-SHOCK PROTEIN 70T-2); ATP binding
BraA05g12790R,AT2G32150,haloacid dehalogenase-like hydrolase family protein
BraA05g12780R,NS,NA
BraA05g12760R,NS,NA
BraA05g12750R,NS,NA
BraA05g12740R,AT2G32120,HSP70T-2 (HEAT-SHOCK PROTEIN 70T-2); ATP binding
BraA05g12710R,NS,NA
BraA05g12700R,NS,NA
BraA05g12690R,NA,NA
BraA05g12680R,NS,NA
BraA05g12670R,NA,NA
BraA05g12660R,AT2G32600,hydroxyproline-rich glycoprotein family protein
BraA05g12650R,AT2G32590,INVOLVED IN: mitosis mitotic cell cycle; LOCATED IN: nucleus chloroplast; EXPRESSED IN: 17 plant structures; EXPRESSED DURING: 9 growth stages; CONTAINS InterPro DOMAIN/s: Barren (InterPro:IPR008418); Has 340 Blast hits to 330 proteins in 142 species: Archae - 0; Bacteria - 0; Metazoa - 135; Fungi - 102; Plants - 21; Viruses - 1; Other Eukaryotes - 81 (source: NCBI BLink).
BraA05g12640R,AT2G32590,INVOLVED IN: mitosis mitotic cell cycle; LOCATED IN: nucleus chloroplast; EXPRESSED IN: 17 plant structures; EXPRESSED DURING: 9 growth stages; CONTAINS InterPro DOMAIN/s: Barren (InterPro:IPR008418); Has 340 Blast hits to 330 proteins in 142 species: Archae - 0; Bacteria - 0; Metazoa - 135; Fungi - 102; Plants - 21; Viruses - 1; Other Eukaryotes - 81 (source: NCBI BLink).
BraA05g12630R,AT2G32550,rcd1-like cell differentiation family protein
BraA05g12620R,AT2G32520,dienelactone hydrolase family protein
BraA05g12610R,NS,NA
BraA05g12600R,NS,NA
BraA05g12590R,AT2G32510,MAPKKK17; ATP binding / kinase/ protein kinase/ protein serine/threonine kinase
BraA05g12580R,AT2G32510,MAPKKK17; ATP binding / kinase/ protein kinase/ protein serine/threonine kinase
BraA05g12570R,AT2G32480,membrane-associated zinc metalloprotease putative
BraA05g12560R,AT2G32460,MYB101; DNA binding / transcription factor
BraA05g12550R,AT2G32440,KAO2 (ENT-KAURENOIC ACID HYDROXYLASE 2); ent-kaurenoate oxidase/ oxygen binding
BraA05g12540R,AT2G32430,galactosyltransferase family protein
BraA05g12530R,AT2G32415,3'-5' exonuclease/ nucleic acid binding
BraA05g12520R,AT2G32410,AXL (AXR1-LIKE); binding / catalytic
BraA05g12510R,AT2G32390,ATGLR3.5 (GLUTAMATE RECEPTOR 3.5); intracellular ligand-gated ion channel
BraA05g12500R,AT2G32370,HDG3 (HOMEODOMAIN GLABROUS 3); DNA binding / transcription factor
BraA05g12490R,AT2G32350,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: protein modification process; LOCATED IN: cellular_component unknown; EXPRESSED IN: flower; EXPRESSED DURING: petal differentiation and expansion stage; CONTAINS InterPro DOMAIN/s: Ubiquitin (InterPro:IPR000626); BEST Arabidopsis thaliana protein match is: ubiquitin family protein (TAIR:AT4G05230.1); Has 132 Blast hits to 112 proteins in 46 species: Archae - 0; Bacteria - 0; Metazoa - 34; Fungi - 1; Plants - 50; Viruses - 12; Other Eukaryotes - 35 (source: NCBI BLink).
BraA05g12480R,AT2G32340,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 21 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Pheromone shutdown-related TraB (InterPro:IPR002816); BEST Arabidopsis thaliana protein match is: TraB family protein (TAIR:AT1G05270.1); Has 393 Blast hits to 393 proteins in 158 species: Archae - 68; Bacteria - 138; Metazoa - 89; Fungi - 0; Plants - 37; Viruses - 0; Other Eukaryotes - 61 (source: NCBI BLink).
BraA05g12470R,NS,NA
BraA05g12460R,AT2G32300,UCC1 (UCLACYANIN 1); copper ion binding / electron carrier
BraA05g12450R,AT2G32290,BAM6 (BETA-AMYLASE 6); beta-amylase/ catalytic/ cation binding
BraA05g12440R,AT2G32280,unknown protein
BraA05g12430R,AT2G32270,ZIP3; zinc ion transmembrane transporter
BraA05g12420R,AT2G32260,cholinephosphate cytidylyltransferase putative / phosphorylcholine transferase putative / CTP:phosphocholine cytidylyltransferase putative
BraA05g12400R,AT2G32240,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: response to cadmium ion; LOCATED IN: plasma membrane; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Prefoldin (InterPro:IPR009053); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G05320.3); Has 221693 Blast hits to 95553 proteins in 2574 species: Archae - 2848; Bacteria - 44259; Metazoa - 97474; Fungi - 15490; Plants - 8386; Viruses - 1229; Other Eukaryotes - 52007 (source: NCBI BLink).
BraA05g12390R,AT2G32235,unknown protein
BraA05g12380R,AT2G32230,pentatricopeptide (PPR) repeat-containing protein
BraA05g12370R,AT2G32230,pentatricopeptide (PPR) repeat-containing protein
BraA05g12360R,NS,NA
BraA05g12350R,NA,NA
BraA05g12340R,NS,NA
BraA05g12330R,AT2G32670,ATVAMP725
BraA05g12320R,AT2G32660,AtRLP22 (Receptor Like Protein 22); kinase/ protein binding
BraA05g12310R,NS,NA
BraA05g12300R,NS,NA
BraA05g12290R,AT2G33020,AtRLP24 (Receptor Like Protein 24); kinase/ protein binding
BraA05g12280R,AT2G32680,AtRLP23 (Receptor Like Protein 23); kinase/ protein binding
BraA05g12270R,AT2G32700,WD-40 repeat family protein
BraA05g12260R,AT2G32720,CB5-B (CYTOCHROME B5 ISOFORM B); heme binding
BraA05g12250R,AT2G32720,CB5-B (CYTOCHROME B5 ISOFORM B); heme binding
BraA05g12240R,AT3G47090,leucine-rich repeat transmembrane protein kinase putative
BraA05g12220R,NS,NA
BraA05g12210R,AT2G32730,26S proteasome regulatory subunit putative
BraA05g12200R,NS,NA
BraA05g12190R,AT2G32750,exostosin family protein
BraA05g12180R,NA,NA
BraA05g12170R,NA,NA
BraA05g12160R,NA,NA
BraA05g12150R,AT2G32780,UBP1 (UBIQUITIN-SPECIFIC PROTEASE 1); ubiquitin thiolesterase/ ubiquitin-specific protease/ zinc ion binding
BraA05g12140R,AT2G32870,meprin and TRAF homology domain-containing protein / MATH domain-containing protein
BraA05g12130R,AT2G32840,proline-rich family protein
BraA05g12120R,AT2G32850,protein kinase family protein
BraA05g12110R,AT2G32860,BGLU33 (BETA GLUCOSIDASE 33); catalytic/ cation binding / hydrolase hydrolyzing O-glycosyl compounds
BraA05g12100R,AT2G32860,BGLU33 (BETA GLUCOSIDASE 33); catalytic/ cation binding / hydrolase hydrolyzing O-glycosyl compounds
BraA05g12090R,AT2G32890,RALFL17 (RALF-LIKE 17); signal transducer
BraA05g12080R,NS,NA
BraA05g12070R,AT2G32900,ATZW10
BraA05g12060R,AT2G32900,ATZW10
BraA05g12040R,AT2G32930,ZFN2 (ZINC FINGER NUCLEASE 2); DNA binding / nuclease/ nucleic acid binding
BraA05g12020R,AT2G32950,COP1 (CONSTITUTIVE PHOTOMORPHOGENIC 1); protein binding / ubiquitin-protein ligase
BraA05g12010R,AT2G32960,tyrosine specific protein phosphatase family protein
BraA05g12000R,AT2G32970,unknown protein
BraA05g11990R,AT2G32980,unknown protein
BraA05g11980R,AT2G32980,unknown protein
BraA05g11970R,AT2G32990,AtGH9B8 (Arabidopsis thaliana glycosyl hydrolase 9B8); catalytic/ hydrolase hydrolyzing O-glycosyl compounds
BraA05g11960R,AT2G33010,ubiquitin-associated (UBA)/TS-N domain-containing protein
BraA05g11950R,AT2G33020,AtRLP24 (Receptor Like Protein 24); kinase/ protein binding
BraA05g11940R,NS,NA
BraA05g11930R,NS,NA
BraA05g11920R,NS,NA
BraA05g11910R,AT2G33040,ATP synthase gamma chain mitochondrial (ATPC)
BraA05g11900R,AT2G33050,AtRLP26 (Receptor Like Protein 26); kinase/ protein binding
BraA05g11890R,AT2G33050,AtRLP26 (Receptor Like Protein 26); kinase/ protein binding
BraA05g11880R,NS,NA
BraA05g11870R,AT2G33060,AtRLP27 (Receptor Like Protein 27); kinase/ protein binding
BraA05g11860R,AT2G33100,ATCSLD1; cellulose synthase/ transferase transferring glycosyl groups
BraA05g11850R,AT2G33120,SAR1 (SYNAPTOBREVIN-RELATED PROTEIN 1)
BraA05g11840R,AT2G33150,PKT3 (PEROXISOMAL 3-KETOACYL-COA THIOLASE 3); acetyl-CoA C-acyltransferase
BraA05g11820R,NS,NA
BraA05g11810R,NS,NA
BraA05g11780R,NS,NA
BraA05g11770R,NS,NA
BraA05g11760R,AT2G33190,F-box family protein
BraA05g11750R,NS,NA
BraA05g11740R,NS,NA
BraA05g11730R,AT2G33190,F-box family protein
BraA05g11720R,AT2G33210,HSP60-2 (HEAT SHOCK PROTEIN 60-2); ATP binding
BraA05g11710R,AT2G33230,flavin-containing monooxygenase putative / FMO putative
BraA05g11700R,AT2G33240,XID; motor/ protein binding
BraA05g11690R,AT2G33260,tryptophan/tyrosine permease family protein
BraA05g11680R,AT2G33290,SUVH2 (SU(VAR)3-9 HOMOLOG 2); histone methyltransferase
BraA05g11670R,AT2G33310,IAA13; transcription factor
BraA05g11660R,AT2G33320,C2 domain-containing protein
BraA05g11650R,AT2G33330,PDLP3 (PLASMODESMATA-LOCATED PROTEIN 3)
BraA05g11640R,AT2G33340,nucleotide binding / ubiquitin-protein ligase
BraA05g11630R,AT2G33340,nucleotide binding / ubiquitin-protein ligase
BraA05g11620R,AT2G33340,nucleotide binding / ubiquitin-protein ligase
BraA05g11610R,AT2G33350,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 7 plant structures; EXPRESSED DURING: L mature pollen stage M germinated pollen stage 4 anthesis; CONTAINS InterPro DOMAIN/s: CCT domain (InterPro:IPR010402); BEST Arabidopsis thaliana protein match is: zinc finger CONSTANS-related (TAIR:AT1G04500.1); Has 7691 Blast hits to 4729 proteins in 129 species: Archae - 8; Bacteria - 25; Metazoa - 148; Fungi - 114; Plants - 918; Viruses - 0; Other Eukaryotes - 6478 (source: NCBI BLink).
BraA05g11600R,AT2G33360,unknown protein
BraA05g11590R,AT2G33380,RD20 (RESPONSIVE TO DESSICATION 20); calcium ion binding
BraA05g11580R,NS,NA
BraA05g11570R,AT2G33385,arpc2b (actin-related protein C2B); structural molecule
BraA05g11560R,AT2G33400,unknown protein
BraA05g11550R,AT2G33400,unknown protein
BraA05g11540R,NS,NA
BraA05g11530R,AT2G33410,heterogeneous nuclear ribonucleoprotein putative / hnRNP putative
BraA05g11520R,AT2G33430,DAL1 (DIFFERENTIATION AND GREENING-LIKE 1)
BraA05g11510R,AT2G33460,RIC1 (ROP-INTERACTIVE CRIB MOTIF-CONTAINING PROTEIN 1); protein binding
BraA05g11500R,AT2G33470,GLTP1 (glycolipid transfer protein 1); glycolipid binding / glycolipid transporter
BraA05g11490R,AT2G33480,ANAC041 (Arabidopsis NAC domain containing protein 41); transcription factor
BraA05g11480R,AT2G33490,hydroxyproline-rich glycoprotein family protein
BraA05g11460R,AT2G33510,protein binding
BraA05g11450R,AT2G33540,CPL3 (C-TERMINAL DOMAIN PHOSPHATASE-LIKE 3); CTD phosphatase/ phosphoprotein phosphatase
BraA05g11440R,AT2G33550,gt-2-related
BraA05g11430R,AT2G33560,spindle checkpoint protein-related
BraA05g11420R,AT2G33570,unknown protein
BraA05g11400R,AT2G33680,pentatricopeptide (PPR) repeat-containing protein
BraA05g11390R,AT2G33700,protein phosphatase 2C putative / PP2C putative
BraA05g11380R,AT2G33710,AP2 domain-containing transcription factor family protein
BraA05g11360R,AT2G33720,transcription factor
BraA05g11350R,AT2G33735,DNAJ heat shock N-terminal domain-containing protein
BraA05g11340R,AT2G33740,CUTA; copper ion binding
BraA05g11330R,AT2G33750,ATPUP2; purine transmembrane transporter
BraA05g11320R,AT2G33775,RALFL19 (ralf-like 19); signal transducer
BraA05g11310R,NS,NA
BraA05g11300R,NS,NA
BraA05g11290R,AT2G33793,unknown protein
BraA05g11280R,AT2G33810,SPL3 (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE 3); DNA binding / transcription factor
BraA05g11270R,AT2G33830,dormancy/auxin associated family protein
BraA05g11260R,NA,NA
BraA05g11250R,AT2G33845,DNA-binding protein-related
BraA05g11240R,AT2G33845,DNA-binding protein-related
BraA05g11230R,AT2G33860,ETT (ETTIN); DNA binding / transcription factor
BraA05g11220R,NS,NA
BraA05g11210R,AT2G33880,HB-3; transcription factor
BraA05g11200R,AT2G33980,atnudt22 (Arabidopsis thaliana Nudix hydrolase homolog 22); hydrolase
BraA05g11190R,AT2G33990,iqd9 (IQ-domain 9); calmodulin binding
BraA05g11180R,AT2G34000,zinc finger protein-related
BraA05g11170R,AT2G34040,apoptosis inhibitory 5 (API5) family protein
BraA05g11160R,AT2G34050,INVOLVED IN: protein complex assembly; LOCATED IN: mitochondrion chloroplast; EXPRESSED IN: 19 plant structures; EXPRESSED DURING: 9 growth stages; CONTAINS InterPro DOMAIN/s: ATP11 (InterPro:IPR010591); Has 224 Blast hits to 224 proteins in 121 species: Archae - 0; Bacteria - 0; Metazoa - 87; Fungi - 80; Plants - 18; Viruses - 0; Other Eukaryotes - 39 (source: NCBI BLink).
BraA05g11150R,AT2G34060,peroxidase putative
BraA05g11140R,AT2G34070,unknown protein
BraA05g11130R,AT2G34080,cysteine proteinase putative
BraA05g11120R,AT2G34090,MEE18 (maternal effect embryo arrest 18)
BraA05g11110R,NS,NA
BraA05g11100R,AT2G34150,WAVE1; actin monomer binding
BraA05g11090R,AT2G34150,WAVE1; actin monomer binding
BraA05g11080R,AT2G34160,nucleic acid binding
BraA05g11070R,AT2G34170,unknown protein
BraA05g11060R,AT2G34180,CIPK13 (CBL-INTERACTING PROTEIN KINASE 13); ATP binding / kinase/ protein kinase/ protein serine/threonine kinase
BraA05g11050R,AT2G34180,CIPK13 (CBL-INTERACTING PROTEIN KINASE 13); ATP binding / kinase/ protein kinase/ protein serine/threonine kinase
BraA05g11040R,AT2G34180,CIPK13 (CBL-INTERACTING PROTEIN KINASE 13); ATP binding / kinase/ protein kinase/ protein serine/threonine kinase
BraA05g11030R,AT2G34190,xanthine/uracil permease family protein
BraA05g11020R,NA,NA
BraA05g11010R,NS,NA
BraA05g11000R,AT2G34240,CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF627 (InterPro:IPR006866) Protein of unknown function DUF629 (InterPro:IPR006865); BEST Arabidopsis thaliana protein match is: MEE20 (maternal effect embryo arrest 20) (TAIR:AT2G34220.1).
BraA05g10990R,AT2G34250,protein transport protein sec61 putative
BraA05g10970R,AT2G34300,dehydration-responsive protein-related
BraA05g10960R,AT2G34300,dehydration-responsive protein-related
BraA05g10950R,AT2G34310,unknown protein
BraA05g10940R,AT2G34340,unknown protein
BraA05g10930R,AT2G34350,nodulin-related
BraA05g10920R,AT2G34357,binding
BraA05g10900R,AT2G34360,antiporter/ drug transporter/ transporter
BraA05g10890R,NA,NA
BraA05g10870R,AT2G34390,NIP2;1 (NOD26-LIKE INTRINSIC PROTEIN 2;1); lactate transmembrane transporter/ water channel
BraA05g10860R,AT2G34430,LHB1B1; chlorophyll binding
BraA05g10850R,AT2G34400,pentatricopeptide (PPR) repeat-containing protein
BraA05g10840R,AT2G34430,LHB1B1; chlorophyll binding
BraA05g10830R,AT2G34430,LHB1B1; chlorophyll binding
BraA05g10820R,AT2G34430,LHB1B1; chlorophyll binding
BraA05g10810R,AT2G34480,60S ribosomal protein L18A (RPL18aB)
BraA05g10800R,AT2G34430,LHB1B1; chlorophyll binding
BraA05g10790R,NS,NA
BraA05g10780R,AT2G34500,CYP710A1 (cytochrome P450 family 710 subfamily A polypeptide 1); C-22 sterol desaturase/ oxygen binding
BraA05g10770R,AT2G34510,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: anchored to membrane; EXPRESSED IN: 20 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF642 (InterPro:IPR006946) Galactose-binding like (InterPro:IPR008979); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G29980.1); Has 177 Blast hits to 163 proteins in 15 species: Archae - 0; Bacteria - 10; Metazoa - 0; Fungi - 0; Plants - 167; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).
BraA05g10760R,AT2G34520,RPS14 (mitochondrial ribosomal protein S14); structural constituent of ribosome
BraA05g10750R,AT2G34530,unknown protein
BraA05g10740R,AT2G34540,unknown protein
BraA05g10730R,AT2G34555,ATGA2OX3 (gibberellin 2-oxidase 3); gibberellin 2-beta-dioxygenase
BraA05g10720R,AT2G34560,katanin putative
BraA05g10710R,NS,NA
BraA05g10700R,NS,NA
BraA05g10690R,NA,NA
BraA05g10680R,NS,NA
BraA05g10670R,NA,NA
BraA05g10660R,AT2G34580,unknown protein
